Name,Pos,Team,Overall,Season
Adrian Peterson,RB,MIN,1.7,2011
Ray Rice,RB,BAL,2.3,2011
Chris Johnson,RB,TEN,2.7,2011
Arian Foster,RB,HOU,4.2,2011
Jamaal Charles,RB,KC,5.3,2011
LeSean McCoy,RB,PHI,5.5,2011
Andre Johnson,WR,HOU,7.1,2011
Michael Vick,QB,PHI,8.9,2011
Roddy White,WR,ATL,9.9,2011
Calvin Johnson,WR,DET,11,2011
Maurice Jones-Drew,RB,JAX,11.3,2011
Darren McFadden,RB,LV,12.1,2011
Rashard Mendenhall,RB,PIT,12.1,2011
Larry Fitzgerald,WR,ARI,12.9,2011
Aaron Rodgers,QB,GB,13.5,2011
Hakeem Nicks,WR,NYG,17,2011
Vincent Jackson,WR,LAC,17.6,2011
Frank Gore,RB,SF,18.4,2011
Matt Forte,RB,CHI,18.4,2011
Greg Jennings,WR,GB,21.2,2011
Steven Jackson,RB,LA,21.2,2011
Michael Turner,RB,ATL,22.3,2011
Mike Wallace,WR,PIT,23.4,2011
Tom Brady,QB,NE,23.5,2011
Miles Austin,WR,DAL,25.7,2011
Peyton Hillis,RB,CLE,26.2,2011
Philip Rivers,QB,LAC,27.1,2011
Reggie Wayne,WR,IND,28.3,2011
Felix Jones,RB,DAL,28.3,2011
LeGarrette Blount,RB,TB,30.8,2011
DeSean Jackson,WR,PHI,31.1,2011
Wes Welker,WR,NE,32.3,2011
Drew Brees,QB,NO,33.5,2011
Jahvid Best,RB,DET,33.7,2011
Brandon Marshall,WR,MIA,34.1,2011
Ahmad Bradshaw,RB,NYG,34.4,2011
Antonio Gates,TE,LAC,37.9,2011
Dwayne Bowe,WR,KC,38.8,2011
Shonn Greene,RB,NYJ,39.4,2011
Dez Bryant,WR,DAL,39.8,2011
Jermichael Finley,TE,GB,42.9,2011
DeAngelo Williams,RB,CAR,43.9,2011
Jason Witten,TE,DAL,45.5,2011
Brandon Lloyd,WR,LA,46.3,2011
Knowshon Moreno,RB,DEN,46.6,2011
Tony Romo,QB,DAL,47.6,2011
Steve Johnson,WR,None,47.9,2011
Mark Ingram,RB,NO,48.7,2011
Santonio Holmes,WR,NYJ,49.5,2011
Ryan Mathews,RB,LAC,52.1,2011
Marques Colston,WR,NO,52.2,2011
Anquan Boldin,WR,BAL,52.8,2011
Tim Hightower,RB,WAS,53.5,2011
Dallas Clark,TE,IND,54.2,2011
Mario Manningham,WR,NYG,54.3,2011
Beanie Wells,RB,ARI,56.8,2011
Vernon Davis,TE,SF,57,2011
Ryan Grant,RB,GB,62.1,2011
Jeremy Maclin,WR,PHI,62.4,2011
Matt Schaub,QB,HOU,62.4,2011
Chad Johnson,WR,NE,62.9,2011
Owen Daniels,TE,HOU,64.5,2011
Jimmy Graham,TE,NO,64.8,2011
Kenny Britt,WR,TEN,64.9,2011
Reggie Bush,RB,MIA,66.4,2011
Cedric Benson,RB,CIN,66.9,2011
Matt Ryan,QB,ATL,67,2011
Ben Roethlisberger,QB,PIT,69.7,2011
Peyton Manning,QB,IND,69.7,2011
Danny Amendola,WR,LA,71.7,2011
BenJarvus Green-Ellis,RB,NE,73.5,2011
Julio Jones,WR,ATL,73.5,2011
Santana Moss,WR,WAS,75.8,2011
Joseph Addai,RB,IND,77.4,2011
Austin Collie,WR,IND,78.1,2011
Marshawn Lynch,RB,SEA,78.5,2011
Matthew Stafford,QB,DET,79.1,2011
Mike Tolbert,RB,LAC,79.4,2011
Tony Gonzalez,TE,ATL,82.6,2011
Plaxico Burress,WR,NYJ,83.6,2011
Mike Thomas,WR,JAX,85.5,2011
Daniel Thomas,RB,MIA,87.2,2011
Sidney Rice,WR,SEA,88.1,2011
Pittsburgh Defense,DST,PIT,88.3,2011
Kellen Winslow,TE,TB,89.3,2011
Malcom Floyd,WR,LAC,89.9,2011
James Starks,RB,GB,90.1,2011
Brandon Jacobs,RB,NYG,90.5,2011
Josh Freeman,QB,TB,92.3,2011
